date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1920-08-28,Norway,England,3,1,1,1,1480.6988282663058,1644.6130654377362
1920-08-28,Sweden,Greece,9,0,1,1,1463.4716494375643,1500.0
1920-08-28,Spain,Denmark,1,0,1,1,1500.0,1528.2944739507893
1920-08-29,Belgium,Spain,3,1,0,1,1500.0,1510.8125848218326
1920-08-29,France,Italy,3,1,1,1,1480.5750112778453,1501.4969606735003
1920-08-29,Netherlands,Sweden,5,4,1,1,1535.2276282454097,1474.519163054292
1920-08-31,Belgium,Netherlands,3,0,0,1,1508.8768542590424,1543.4978665744882
1920-08-31,Italy,Norway,2,1,1,1,1490.8955053935215,1495.0952172570937
1920-09-01,Spain,Sweden,2,1,1,1,1501.9357305627902,1466.2489247252136
1920-09-02,Spain,Italy,2,0,1,1,1510.912178803171,1501.0163769307396
1920-09-05,Spain,Netherlands,3,1,1,1,1520.6274317256941,1533.9402205542149
1920-09-11,Chile,Brazil,0,1,0,1,1419.901310731162,1518.726228253317
1920-09-12,Argentina,Uruguay,1,1,1,1,1507.8747055037582,1553.4977555117628
1920-09-18,Uruguay,Brazil,6,0,1,1,1552.1921144774792,1527.3301124898542
1920-09-20,Chile,Argentina,1,1,0,1,1411.297426494625,1509.1803465380417
1920-09-25,Argentina,Brazil,2,0,1,1,1507.8108251754904,1518.0444795084275
1920-09-26,Chile,Uruguay,1,2,0,1,1412.6669478571762,1561.477747458906
1920-10-23,England,Ireland,2,0,0,1,1630.2166764469482,1381.573780797744
1921-02-12,Scotland,Wales,2,1,0,1,1584.6257718995325,1420.228804301308
1921-02-26,Northern Ireland,Scotland,0,2,0,1,1500.0,1589.1348265801148
1921-03-14,Wales,England,0,0,0,1,1415.7197496207257,1633.2563501374325
1921-04-09,Scotland,England,3,0,0,1,1598.0131753924027,1628.7762395533857
1921-04-09,Wales,Northern Ireland,2,1,0,1,1420.1998602047724,1491.1216511877121
1921-05-30,Philippines,Japan,3,1,1,1,1491.0388784530708,1477.4676685626237
1921-05-31,China,Philippines,1,0,0,1,1531.4934529843056,1500.648466172569
1921-06-01,China,Japan,4,0,0,1,1539.2076538557244,1467.8580808431254
1921-09-14,Costa Rica,El Salvador,7,0,1,1,1500.0,1500.0
1921-09-14,Guatemala,Honduras,9,0,0,1,1500.0,1500.0
